first_name,last_name,state,salary,tenure,credit_score,age,loan_amount,interest_rate,checking_savings,existing_debt,DTI,Approvals
Dar,Spedding,TX,55381.86,23,440,58,379892.81,3.2,5113.61,44451.53,0.8,Denied
Amalita,Riddock,MA,52878.24,29,367,78,247330.14,2.6,2931.25,73552.04,1.39,Denied
Livvy,Guidetti,IL,59122.13,3,643,56,277709.79,3.8,8935.21,7070.4,0.12,Approved
Vladamir,Sheehan,AL,52141.65,22,573,32,455065.42,2.8,1657.26,30481.74,0.58,Denied
Gerhardine,Canny,FL,36377.83,7,543,72,173186.41,3.2,9376.62,4228.33,0.12,Approved
Eward,Liveley,CA,26560.98,28,503,71,206636.35,2.9,2825.31,35541.77,1.34,Denied
Carolynn,Mannock,MI,29520.04,10,432,28,226373.87,3.7,-218.94,41753.36,1.41,Denied
Ursola,Carff,MO,37929.07,18,765,32,84604.64,2.9,-776.09,57067.77,1.5,Denied
Maire,Fouracre,TN,58643.16,20,430,68,88348.72,3.0,9097.78,14477.9,0.25,Approved
Merrile,Clancey,MN,44890.15,6,834,42,424265.54,2.5,5131.33,33113.11,0.74,Denied
Murray,Noe,WA,27380.33,10,726,66,113969.65,2.6,4413.82,6392.26,0.23,Approved
Karl,Kippin,PA,58975.68,7,505,68,454503.55,3.1,1856.99,12713.7,0.22,Approved
Nellie,Belitz,OH,55871.54,22,725,43,54533.44,3.7,1901.51,39753.84,0.71,Denied
Clarita,Besson,CA,37859.24,6,768,68,197370.04,3.8,309.53,27337.15,0.72,Denied
Austin,Perone,TX,32470.45,11,574,83,348039.44,2.8,1732.97,34891.81,1.07,Denied
Yale,Oddie,OK,34498.48,8,427,51,387903.59,3.0,8046.92,46379.68,1.34,Denied
Kate,Grindley,NC,27561.53,17,487,42,386027.33,2.9,294.07,14437.75,0.52,Denied
Stephana,Mulgrew,CA,33584.85,11,473,28,437470.99,3.3,2397.68,61506.89,1.83,Denied
Tasha,Moggle,TX,48886.02,15,466,71,462422.0,2.7,8088.15,61822.58,1.26,Denied
Ahmed,Caughey,PA,49380.06,11,531,33,464014.96,2.8,6462.02,2297.83,0.05,Approved
Sherwin,Guard,AL,43172.4,4,413,81,5189.93,3.8,2972.67,21603.63,0.5,Denied
Carilyn,Fullman,FL,51119.05,29,629,46,217625.08,3.3,6333.77,71576.37,1.4,Denied
Sherilyn,Muirhead,AR,41446.03,17,633,53,69562.13,3.4,2248.85,68388.9,1.65,Denied
Tarrah,Larkkem,FL,56571.91,19,795,40,260249.77,2.7,5136.74,6044.19,0.11,Approved
Gregg,Squelch,OR,31280.19,1,361,72,382885.15,3.7,9757.05,47838.04,1.53,Denied
Felicia,Lorain,OH,51326.78,18,826,37,96818.46,3.7,4617.83,54257.11,1.06,Denied
Aile,Stubbs,TX,50879.08,16,354,80,14970.8,2.5,8289.3,32558.25,0.64,Denied
Lorilee,Sibbering,TX,30043.62,4,668,65,436247.72,3.2,2262.45,14725.44,0.49,Denied
Chaddie,Gaskell,NY,47597.74,3,523,48,49990.24,3.8,3926.27,63604.93,1.34,Denied
Arlen,Arendt,MD,27290.38,25,631,78,444062.78,2.6,6167.0,66464.0,2.44,Denied
Delainey,McNeice,AL,32709.57,8,665,45,422359.27,2.8,6523.49,28.19,0.0,Approved
Thorn,Haeslier,TX,56776.44,16,590,59,326584.35,2.9,6351.94,54768.0,0.96,Denied
Edee,Chasen,AL,47391.62,23,839,70,7409.72,2.6,1718.21,47965.94,1.01,Denied
Betta,Thexton,CA,51859.62,3,507,18,218466.14,2.6,1674.2,58954.17,1.14,Denied
Margarita,Paule,NY,26757.44,13,539,62,245377.54,3.8,2113.99,70384.61,2.63,Denied
Dniren,Feavearyear,TN,32712.98,25,828,79,358946.14,2.9,6908.94,17378.21,0.53,Denied
Junie,McCahey,DC,51579.81,11,572,25,373585.94,3.0,-542.69,60581.06,1.17,Denied
Sheilakathryn,Bellingham,KS,49760.21,3,795,23,82570.79,3.6,7441.37,53239.52,1.07,Denied
Dyna,Cawthra,MN,29577.25,16,353,36,101349.84,3.0,9347.84,54852.34,1.85,Denied
Miguelita,Penwright,VA,50673.81,14,398,61,199187.22,3.1,1274.49,42774.84,0.84,Denied
Skyler,Valero,OK,53675.64,14,588,30,119972.7,2.7,7601.66,19486.59,0.36,Approved
Gaultiero,Ellens,FL,26507.86,25,677,70,217678.22,3.5,6214.72,66586.74,2.51,Denied
Uri,Timewell,CA,45989.55,18,821,58,12788.34,4.0,6162.5,28358.59,0.62,Denied
Tessy,Harsant,CA,50404.41,8,674,23,346530.03,2.9,3940.27,42759.85,0.85,Denied
Misha,Codling,FL,37874.95,1,432,64,130550.0,3.1,7948.69,56060.61,1.48,Denied
Johnathon,Fallow,SD,39132.64,26,555,58,103978.31,3.1,6339.24,35699.51,0.91,Denied
Doll,Streetley,PA,29368.73,28,458,71,77691.98,3.8,786.17,66962.69,2.28,Denied
Alejandro,Dawid,MS,40159.15,1,519,34,36213.27,3.5,1810.12,15603.1,0.39,Denied
Lanita,Juschke,CO,36901.03,22,490,76,211802.31,3.0,6949.39,53433.09,1.45,Denied
Tedie,O'Donoghue,WV,26753.18,21,850,41,279356.53,3.6,6334.0,71107.42,2.66,Denied
Trixi,Tatton,FL,34283.22,21,820,29,48303.95,2.7,9876.32,68765.81,2.01,Denied
Gasper,Colmer,MO,56728.4,17,412,74,450881.11,2.9,6777.06,70592.06,1.24,Denied
Gerek,Deppen,OK,37051.72,26,754,40,101095.57,3.2,4814.63,17075.87,0.46,Denied
Wilt,Yakubov,TX,32457.44,27,730,63,211302.44,3.1,505.54,11420.09,0.35,Approved
Garey,Carragher,IN,45412.89,11,385,73,96308.17,3.3,-282.41,11524.84,0.25,Approved
Barri,Pelzer,AL,38596.63,26,748,31,400891.23,3.2,8758.27,5507.1,0.14,Approved
Ange,Iskower,TX,26995.49,1,703,85,446109.42,3.4,3651.79,32751.77,1.21,Denied
Devlen,Whawell,PA,52752.49,23,824,41,117953.62,3.4,3455.69,13858.99,0.26,Approved
Carola,Cakebread,DE,38699.35,12,608,35,410145.95,3.1,866.08,54066.03,1.4,Denied
Darryl,Keay,WA,46150.57,19,652,18,276341.39,2.8,8573.57,67464.64,1.46,Denied
Roda,Pietruschka,VA,48013.76,25,657,41,419819.16,2.5,-100.13,71583.27,1.49,Denied
Hansiain,Piggford,NY,39358.48,13,604,48,141499.52,2.8,2326.5,61088.43,1.55,Denied
Horten,Jammes,KS,37472.55,6,550,23,130226.21,3.9,-943.38,38899.07,1.04,Denied
Eziechiele,Wilkisson,OH,52452.95,4,441,79,455122.36,4.0,9054.88,71399.83,1.36,Denied
Sydney,Cranna,VA,28183.48,18,743,79,340368.04,3.8,9941.55,54630.98,1.94,Denied
Leigh,Banting,PA,49975.79,6,629,74,411420.93,2.9,4752.93,63762.21,1.28,Denied
Spenser,Pennicard,GA,52784.11,25,659,84,399092.78,2.6,8101.06,48764.01,0.92,Denied
Gisele,Gundry,CA,58619.99,5,538,52,483404.78,2.6,4770.22,2270.88,0.04,Approved
Reinaldo,Wincer,MN,39188.44,25,471,55,122883.36,2.9,4285.47,68640.39,1.75,Denied
Beck,Roo,MD,41504.53,22,807,77,245093.22,3.0,-207.19,52133.74,1.26,Denied
Walker,Bradneck,MI,44432.59,5,460,70,131895.31,3.9,2119.37,74015.2,1.67,Denied
Marsh,Kettlesing,TX,57133.05,4,708,40,92560.41,2.7,3756.74,68533.58,1.2,Denied
Hestia,Branwhite,CA,33536.93,14,781,53,310560.53,3.1,9403.04,71080.85,2.12,Denied
Jerrome,Thiolier,TX,37704.53,27,494,34,255856.62,3.7,5253.83,35091.7,0.93,Denied
Tarrah,Egerton,DC,27593.97,2,837,59,264342.84,3.1,8394.61,47506.91,1.72,Denied
Roch,Papaccio,TX,35758.84,14,728,21,164664.8,3.3,8615.32,55364.92,1.55,Denied
Arlie,Lympenie,OK,41481.86,10,614,53,297608.62,3.2,9764.81,30700.23,0.74,Denied
Prinz,Witham,FL,50164.72,19,835,75,125077.74,2.9,8648.23,61590.34,1.23,Denied
Nancy,Chsteney,IL,56948.08,8,819,24,416598.8,3.8,1228.33,19802.69,0.35,Approved
Moselle,Antoney,OH,47168.06,4,671,27,373084.53,3.1,3416.63,11002.69,0.23,Approved
Sanford,Battersby,DE,28943.18,28,686,31,437415.8,3.9,4401.07,68830.41,2.38,Denied
Gennie,Lebel,LA,36581.37,16,470,20,260873.92,3.2,9652.76,50797.74,1.39,Denied
Tawnya,Foucher,CA,41371.29,10,530,82,436548.01,3.3,2545.39,31035.28,0.75,Denied
Fabe,Bucky,PA,59897.46,26,810,20,95997.1,2.9,9506.5,54018.34,0.9,Denied
Berkley,Dowdney,MO,45552.32,15,818,22,364955.81,3.9,7095.05,27606.58,0.61,Denied
Lacee,Bewshire,TX,43427.59,23,613,31,245048.6,3.8,4425.12,64517.97,1.49,Denied
Megan,Cornfoot,WV,59559.85,6,485,21,339792.12,3.6,73.67,34743.15,0.58,Denied
Stevana,Fearnsides,MO,28940.29,19,385,40,410422.02,2.5,8835.94,68674.09,2.37,Denied
Nicoline,Croshaw,PA,57512.28,24,463,19,451212.42,3.8,2278.64,58953.52,1.03,Denied
Zara,Conti,IN,27916.73,1,849,18,71421.06,2.8,7245.6,20450.89,0.73,Denied
Paco,Haswell,FL,50422.13,3,835,64,218116.21,3.8,6139.48,35588.33,0.71,Denied
Clevey,Graveston,OH,32078.3,26,608,58,18035.16,3.9,2321.03,662.46,0.02,Approved
Pate,Ollin,CA,38162.01,1,551,72,33408.23,2.7,-703.2,4771.23,0.13,Approved
Ethelin,Ansty,TN,41575.21,9,412,76,478420.54,2.9,4452.9,69514.2,1.67,Denied
Ellerey,Whiteland,CA,59322.68,3,626,47,391270.12,3.7,2080.38,51780.18,0.87,Denied
Marta,Shakle,SD,26648.67,19,427,20,60401.22,3.5,1900.97,19223.04,0.72,Denied
Ravi,Saldler,NY,28570.1,8,493,38,93795.82,3.5,1999.95,5838.48,0.2,Approved
Connor,Braybrookes,CO,40513.02,13,603,69,318813.57,3.6,9448.64,38985.44,0.96,Denied
Delinda,Olifard,GA,56557.61,5,651,23,6316.34,3.5,3508.75,72352.62,1.28,Denied
Leonora,Gommey,IL,58351.28,12,525,58,113519.06,3.6,4816.55,33198.9,0.57,Denied
Salomone,Elsmore,FL,58069.53,23,415,35,407320.94,2.7,4618.52,73365.7,1.26,Denied
Tulley,Beswetherick,FL,41526.8,17,486,68,15522.48,2.6,144.05,28944.28,0.7,Denied
Arnuad,Heliet,TX,26813.37,24,554,25,55867.43,3.7,6232.43,8468.53,0.32,Approved
Karola,Dadds,OR,29425.56,28,721,40,298218.24,3.6,8390.37,37155.96,1.26,Denied
Lyn,Sherington,NC,54725.21,27,501,29,327963.01,3.7,336.38,23861.26,0.44,Denied
Washington,Gilchrist,UT,30754.82,14,833,37,492095.18,3.5,6436.17,25779.95,0.84,Denied
Maurice,Diffley,MO,56088.4,10,673,70,13771.19,3.1,8256.51,68611.3,1.22,Denied
Berty,Avrashin,CO,46086.16,25,847,36,49432.03,4.0,4955.48,65264.75,1.42,Denied
Hertha,Casper,CA,42127.14,15,498,53,281813.56,3.3,-204.26,1501.85,0.04,Approved
Alia,Dybald,TX,51130.56,13,534,74,190678.04,3.6,6031.47,26936.83,0.53,Denied
Dame,Busson,LA,51786.43,15,501,73,441007.82,3.8,9028.23,31926.58,0.62,Denied
Ellery,Nys,MI,32740.48,5,784,45,148886.54,3.3,6814.49,47530.32,1.45,Denied
Jasen,Delafoy,CA,29271.05,30,593,26,165065.48,3.1,762.06,29175.28,1.0,Denied
Nomi,Najafian,CA,56640.83,21,822,36,669.68,3.7,8915.11,3982.82,0.07,Approved
Balduin,Allanby,FL,56660.99,3,441,72,281353.2,2.7,3225.15,52907.51,0.93,Denied
Xenia,Povey,TX,31461.57,12,756,67,426537.18,3.5,5848.34,28268.86,0.9,Denied
Chico,Parrott,FL,52326.07,4,785,35,66940.82,3.4,-867.42,19228.12,0.37,Denied
Scarface,Casserley,CA,28142.4,17,600,56,332503.53,2.5,9963.18,10541.81,0.37,Denied
Timofei,Esch,FL,32792.61,1,503,35,412755.9,3.1,5948.42,15002.68,0.46,Denied
Niall,Bonass,OK,45398.86,27,656,53,116523.95,2.9,9334.73,10804.03,0.24,Approved
Wilbur,Guerrin,AL,43236.67,8,610,29,418705.04,3.0,9824.13,24280.16,0.56,Denied
Nert,Deporte,FL,55464.49,1,689,18,264864.88,3.4,1622.74,23236.28,0.42,Denied
Gearard,Donnellan,IN,35215.02,26,515,76,334975.2,2.6,6014.77,38851.93,1.1,Denied
Doug,Hopfer,DC,54843.13,3,745,55,120657.65,2.7,8000.9,18868.63,0.34,Approved
Killie,Killock,NY,53750.9,23,837,70,5172.69,3.6,8236.26,3999.02,0.07,Approved
Stefano,Mainland,AZ,59293.47,6,692,50,229105.84,3.3,3291.13,63889.74,1.08,Denied
Angy,Beamish,LA,28792.47,3,382,66,309736.15,3.1,794.78,3767.3,0.13,Approved
Rice,Bridie,CA,31477.6,25,450,69,52171.75,3.3,2828.98,53777.99,1.71,Denied
Sibby,Inge,FL,33584.97,28,726,32,33021.73,2.5,2455.49,59598.06,1.77,Denied
Tootsie,Lamberti,TN,54790.86,26,728,77,281863.04,3.6,8924.5,57727.24,1.05,Denied
Barbi,Bramford,NC,55922.39,23,734,25,399135.7,3.6,-827.95,56683.23,1.01,Denied
Chev,Voce,WY,40679.66,16,695,74,27955.38,2.6,7263.29,46087.29,1.13,Denied
Cathrin,Fullylove,MN,28373.46,11,469,56,459867.65,3.2,3969.99,43502.49,1.53,Denied
Gipsy,Greenin,WI,36889.33,22,761,46,404086.59,3.5,1414.86,63573.15,1.72,Denied
Mace,Portwain,IN,27638.96,4,546,29,451475.6,3.4,3889.49,52726.75,1.91,Denied
Cammy,Lindemann,VA,37244.74,9,529,23,137446.09,3.8,1300.21,437.54,0.01,Approved
Henriette,Serrell,CA,50390.35,10,796,24,255280.72,3.7,-113.56,10194.45,0.2,Approved
Arny,Buff,FL,33940.96,11,581,19,463440.76,3.4,8123.69,52436.46,1.54,Denied
Bancroft,Bransby,IL,36694.32,9,527,27,371374.52,3.5,2520.43,60810.48,1.66,Denied
Weider,Mealand,LA,35082.33,29,609,33,128582.54,3.2,9497.66,25240.3,0.72,Denied
Sorcha,Esposita,IN,47875.17,10,647,28,249704.91,3.1,-342.05,4548.97,0.1,Approved
Lenci,Gully,PA,50656.82,2,634,50,474455.6,2.9,7934.98,65327.15,1.29,Denied
Agatha,Hannaford,VA,48633.34,13,713,21,258730.83,2.6,-370.99,7739.91,0.16,Approved
Wilmette,Coathup,TX,58276.92,29,358,29,290920.11,3.4,2967.83,12423.96,0.21,Approved
Rozalin,Sitwell,FL,33088.01,28,615,81,481538.23,3.5,9340.28,14526.3,0.44,Denied
Sydney,Bruineman,AR,49410.3,3,663,40,26970.5,3.7,2677.35,61572.78,1.25,Denied
Eugenius,Flatt,CT,33432.87,1,534,36,184472.17,3.1,9094.57,13264.79,0.4,Denied
Denver,Winram,NM,36722.54,2,623,60,175180.39,3.6,6662.92,25497.16,0.69,Denied
Joshia,Fritche,VA,58893.86,22,673,80,232830.84,3.6,2521.0,69588.08,1.18,Denied
Eldon,Mobley,FL,38816.26,27,592,47,333350.15,2.7,3618.03,44915.38,1.16,Denied
Anselma,Ginglell,TN,34061.13,10,396,24,56319.42,3.5,4847.6,14204.6,0.42,Denied
Norby,McAneny,MN,44417.09,23,557,51,166810.15,3.4,480.63,17838.55,0.4,Denied
Vern,Blincoe,TN,57879.08,11,485,50,421583.47,3.0,9146.69,25459.86,0.44,Denied
Kara-lynn,Cornes,TX,39866.68,13,453,65,247656.21,2.7,425.95,16645.26,0.42,Denied
Rubie,Mackett,AR,41786.25,16,543,67,69224.74,3.6,6693.8,48110.37,1.15,Denied
Weston,Harborow,RI,35452.23,30,508,23,191032.18,3.2,9997.37,20757.27,0.59,Denied
Torin,Lambert-Ciorwyn,CA,26970.09,30,784,19,157542.82,3.1,6731.95,20164.03,0.75,Denied
Chet,Cruce,SC,27350.6,7,485,56,31452.29,3.1,2109.15,35902.38,1.31,Denied
Nani,Tween,GA,59524.69,24,451,34,20206.37,2.8,8432.9,34498.44,0.58,Denied
Nikolas,Simes,FL,46735.36,25,542,70,384796.87,2.8,9382.51,47748.71,1.02,Denied
Truda,Firle,WA,56669.6,12,458,36,219604.29,2.7,4388.64,57135.53,1.01,Denied
Sherlocke,Thirlaway,MO,37241.21,2,400,45,439757.68,4.0,-855.67,34005.26,0.91,Denied
Sidnee,Wadman,CO,27591.96,20,677,27,395260.02,3.1,4030.8,36646.33,1.33,Denied
Madonna,Finby,ID,32568.24,15,444,34,475989.45,3.7,7527.32,58800.26,1.81,Denied
Lind,Stanlock,TX,39590.19,7,599,55,135890.68,3.7,8042.79,68.03,0.0,Approved
Wylma,Pfaffel,OH,28934.31,13,785,78,143705.29,3.8,6667.64,31412.98,1.09,Denied
Nerty,Sisse,TX,26727.56,24,547,57,367442.03,3.5,4900.75,2509.46,0.09,Approved
Ingaborg,Larway,PA,32818.51,19,693,54,201713.54,3.2,1854.04,14039.06,0.43,Denied
Beilul,Gude,AZ,42628.12,30,602,42,130230.9,3.3,3296.72,3092.51,0.07,Approved
Nollie,Petracco,SC,46324.25,15,652,47,292747.39,2.8,1962.23,70587.33,1.52,Denied
Fin,Dancer,IN,41503.43,8,474,30,426478.65,2.7,1705.14,45879.49,1.11,Denied
Lorelle,Veasey,VA,54293.29,9,471,59,153776.65,2.8,740.06,68753.84,1.27,Denied
Keelia,Blessed,NJ,30858.2,18,842,47,402034.65,3.8,8632.41,9280.74,0.3,Approved
Scarface,Benitez,KS,37330.31,16,841,19,470236.17,3.7,1773.78,21336.34,0.57,Denied
Jaime,Yakovich,MT,47037.61,1,528,28,83669.15,2.8,9194.31,37283.96,0.79,Denied
Zackariah,Longfellow,VA,53160.43,5,437,35,7227.49,2.9,3243.27,58987.19,1.11,Denied
Imelda,Yukhtin,AZ,53672.54,27,833,38,282379.85,2.8,-251.37,40162.15,0.75,Denied
Vanni,McDill,VA,39304.01,3,700,26,358001.67,3.6,5843.96,30043.74,0.76,Denied
Stearne,Wipfler,SD,54969.36,27,764,62,71535.0,3.5,8517.77,8739.94,0.16,Approved
Claribel,Legat,CA,59927.69,20,743,85,294862.8,3.1,3607.76,72163.89,1.2,Denied
Far,Mularkey,NJ,43743.67,29,619,65,227856.92,3.1,3253.53,32744.46,0.75,Denied
Thomas,Musterd,IL,28065.59,29,727,54,287249.19,3.1,8224.53,16851.76,0.6,Denied
Lionel,Yakuntsov,WA,40215.38,29,644,80,248285.71,4.0,882.74,29020.39,0.72,Denied
Wilhelmina,Nevins,NC,31407.51,9,570,55,120897.32,3.1,5952.8,32377.2,1.03,Denied
Vinny,Chezelle,OK,34713.65,8,818,50,222769.5,2.8,628.45,18783.97,0.54,Denied
Arluene,Godmar,TX,58041.07,16,604,75,331067.79,3.3,7637.82,7862.9,0.14,Approved
Jessi,Yarmouth,NC,53701.07,18,360,49,494960.74,3.1,5549.92,71546.83,1.33,Denied
Lee,Pollicott,CA,32170.32,1,490,39,327391.71,2.6,1357.22,30071.79,0.93,Denied
Julie,Leyton,CA,50010.75,18,826,72,219488.85,3.1,5201.18,4475.94,0.09,Approved
Rea,Hutchcraft,GA,54268.79,10,780,19,317021.94,3.6,2107.06,33770.14,0.62,Denied
Carolann,Bonniface,LA,33678.33,10,736,47,135243.79,3.5,1951.54,60306.74,1.79,Denied
Candace,Chrestien,TX,50334.56,10,636,74,367831.2,3.1,8886.68,23937.26,0.48,Denied
Cate,Dorsett,KY,42848.53,7,626,82,35058.23,2.6,763.74,40815.56,0.95,Denied
Theodore,Barenskie,DC,42073.79,13,507,69,113448.43,2.5,7774.44,24171.74,0.57,Denied
Bernie,Kelner,TN,49017.81,9,757,78,101279.66,3.5,1001.69,23357.65,0.48,Denied
Vidovik,Hucquart,SC,29477.54,26,806,23,154159.91,3.6,2651.79,51544.76,1.75,Denied
Raymund,Ryott,NC,31714.08,29,433,54,180884.79,3.7,-430.24,49203.43,1.55,Denied
Iorgo,Helstrom,WI,35281.47,23,463,55,133502.68,3.2,773.85,59412.22,1.68,Denied
Felecia,Oldham,TX,57541.76,28,372,40,72672.66,3.3,5644.31,60961.15,1.06,Denied
Vernice,Busk,MT,44569.84,27,674,68,475692.68,3.9,3450.6,66720.21,1.5,Denied
Chalmers,Arnout,CA,38231.94,24,570,72,334792.95,3.8,8621.04,56985.21,1.49,Denied
Aili,Marron,TX,36403.71,9,834,52,211558.62,3.1,8292.7,39679.76,1.09,Denied
Gaye,Hartfleet,NY,30037.6,9,488,73,120131.75,2.9,154.17,8424.39,0.28,Approved
Garrot,Mager,AZ,56362.95,20,471,27,432004.43,3.2,3374.47,69778.2,1.24,Denied
Raphaela,Fitzjohn,TX,33634.29,8,434,53,35980.36,2.9,4169.87,33028.41,0.98,Denied
Francis,Pinchback,MO,33380.31,13,721,45,88403.98,3.8,3774.56,31031.99,0.93,Denied
Montgomery,Leith,TX,55000.34,4,679,74,334781.36,3.8,4952.66,51784.66,0.94,Denied
Archaimbaud,Rioch,CA,47685.07,6,369,38,92662.1,2.9,6321.82,553.0,0.01,Approved
Fidole,Pursey,MS,38435.75,20,584,39,77686.44,3.8,9666.82,21550.44,0.56,Denied
Tabbi,Harsum,NY,35522.64,14,531,81,47239.98,3.3,4807.86,2363.94,0.07,Approved
Augusto,Curry,CA,37510.69,5,741,54,157050.76,2.7,290.66,54043.1,1.44,Denied
Boonie,Santello,NC,34173.64,11,786,18,183779.46,3.0,6295.36,27385.55,0.8,Denied
Meghann,Larner,FL,49884.63,28,694,33,327296.16,2.6,5993.46,60794.05,1.22,Denied
Melli,Flanaghan,OH,40085.74,2,430,83,331687.59,3.6,8312.23,12296.13,0.31,Approved
Lacie,Coye,IL,46333.59,9,667,78,258453.37,2.8,3573.43,51290.98,1.11,Denied
Jonis,Bownde,OH,43693.28,15,519,56,259285.03,2.5,1010.5,59870.59,1.37,Denied
Leeland,Prin,FL,56572.02,7,467,79,116110.33,2.7,49.35,32033.4,0.57,Denied
Benedikt,O'Dowd,NY,47643.83,17,837,44,282097.52,2.9,3319.06,10653.75,0.22,Approved
Gwenette,Drees,AL,50057.74,25,793,34,112839.78,2.6,6097.23,60818.14,1.21,Denied
Kyle,O'Clery,NC,29747.64,26,534,32,193874.3,3.3,6898.71,44028.8,1.48,Denied
Nicolle,Giddy,IL,48102.3,2,477,84,36850.05,2.7,-671.68,46446.86,0.97,Denied
Lenard,Heakey,LA,26769.15,28,423,73,180076.24,3.3,811.39,73358.33,2.74,Denied
Inna,Paolone,CA,27077.05,13,492,48,242123.35,2.9,9258.43,47348.1,1.75,Denied
Martyn,Ozelton,TX,39709.15,25,362,24,390780.39,3.8,4121.08,57732.0,1.45,Denied
Nickie,Bricklebank,AZ,54836.21,18,388,70,460741.76,2.7,9898.51,1410.82,0.03,Approved
Bob,Sculley,CT,30391.93,15,616,28,466804.36,3.6,5642.92,44728.97,1.47,Denied
Nance,Harlin,VA,46846.01,12,749,65,139914.62,3.1,7487.47,38112.95,0.81,Denied
Hart,Murney,AL,38709.85,21,507,67,26.77,3.6,141.27,26883.83,0.69,Denied
Noah,Iddison,AL,53080.7,24,375,24,281104.12,3.3,9875.84,18682.39,0.35,Approved
Arte,Shervington,SD,33878.91,3,394,46,381992.97,3.9,1692.49,19772.74,0.58,Denied
Dannel,Hornbuckle,TX,49647.33,28,653,45,498000.04,4.0,7366.19,28018.04,0.56,Denied
Lil,Wroe,TX,32160.14,29,656,31,14577.92,3.6,-148.79,73291.14,2.28,Denied
Cleavland,Archell,IL,55488.22,4,516,31,334426.38,3.7,5065.82,62769.53,1.13,Denied
Giacinta,Stove,VA,50758.52,10,606,66,347221.39,3.4,2213.36,14902.89,0.29,Approved
Suzy,Stitch,KY,39361.43,2,810,36,489250.09,3.1,7617.25,27438.14,0.7,Denied
Gisela,Maundrell,PA,51576.22,17,829,77,374326.21,3.1,-983.27,2193.96,0.04,Approved
Loni,Plumley,CT,57144.88,2,500,30,204787.83,2.8,2542.15,55918.26,0.98,Denied
Teressa,Stroban,MD,53963.42,10,400,23,349794.87,4.0,28.11,23976.77,0.44,Denied
Dill,McIsaac,LA,32457.74,7,409,58,354737.88,3.0,3618.43,7904.34,0.24,Approved
Arel,Avent,DC,30331.53,23,626,40,20633.85,2.5,315.07,61803.31,2.04,Denied
Hamil,McMurthy,WV,44840.38,6,456,57,340388.3,3.7,2223.66,12418.17,0.28,Approved
Devondra,Bower,DC,52125.09,4,383,80,104889.38,2.8,1251.17,36461.98,0.7,Denied
Nalani,Padell,CA,36179.87,2,780,42,294485.62,3.1,7701.66,56638.35,1.57,Denied
Uta,McTerry,CA,36060.92,4,563,32,120429.96,3.7,4949.43,20749.93,0.58,Denied
Giorgi,Tubb,LA,59309.29,14,806,26,455639.87,3.5,5157.57,17525.92,0.3,Approved
Wallace,Barth,IN,58020.85,9,800,57,446825.23,3.1,1683.83,32885.46,0.57,Denied
Jean,Burgoin,CO,40357.87,27,427,31,214417.17,3.9,2951.74,281.02,0.01,Approved
Tessi,Wickie,IA,54453.41,27,456,27,317035.15,3.4,9739.33,7800.22,0.14,Approved
Layne,Kirstein,VA,34505.04,19,652,33,373650.02,3.6,8881.92,55509.35,1.61,Denied
Aggi,Shapera,VA,30556.56,6,430,69,299635.81,2.9,8835.79,12712.21,0.42,Denied
Esra,Asling,DC,40983.17,15,595,82,422857.56,2.6,5641.96,28390.13,0.69,Denied
Minta,Kemmons,OK,37340.41,16,659,82,11882.71,3.8,253.25,58127.73,1.56,Denied
Leese,Brigshaw,NC,56260.81,10,793,74,61572.94,3.8,4767.61,37603.22,0.67,Denied
Heloise,Vesty,CT,28446.32,27,693,67,411355.54,3.4,7530.34,39418.58,1.39,Denied
Dane,Bayford,OH,32061.06,15,389,62,67341.89,3.9,6618.46,66160.19,2.06,Denied
Rickie,Roxby,AL,59459.62,7,565,48,233561.73,3.8,7012.57,60652.35,1.02,Denied
Sheila,Zorzenoni,FL,49448.32,25,439,70,121116.73,3.0,9750.46,23801.46,0.48,Denied
Mylo,Lyste,CT,57060.37,11,506,50,356426.29,3.7,792.53,16761.78,0.29,Approved
Veronica,Orknay,PA,52060.26,10,656,48,177873.46,2.7,4140.73,33948.47,0.65,Denied
Hobey,Pont,AZ,37832.02,21,617,58,60844.57,3.6,5093.81,23288.56,0.62,Denied
Dex,Grayland,FL,54462.52,5,494,41,11463.19,3.5,-489.19,4188.52,0.08,Approved
Tye,Meneo,FL,40756.13,29,510,79,130837.97,4.0,4573.56,51522.13,1.26,Denied
Leesa,Casaccio,WI,56184.55,30,842,84,448947.96,2.7,-843.23,39710.9,0.71,Denied
Eddi,Spinetti,CA,41994.7,27,362,40,201731.99,2.7,453.65,68119.16,1.62,Denied
Westbrooke,Pawlett,FL,28600.78,5,800,25,10010.97,3.3,2101.28,70899.28,2.48,Denied
Reginauld,Persent,FL,50186.16,9,608,31,231904.15,3.6,2376.68,51229.51,1.02,Denied
Bogart,Zelake,SC,30231.95,11,451,37,54313.66,4.0,2481.93,25146.81,0.83,Denied
Cordie,Dallaway,TX,54964.71,8,396,22,186837.1,2.9,2915.1,39900.04,0.73,Denied
Cesar,Guess,MI,27764.41,1,622,81,58346.91,3.7,3329.15,60891.58,2.19,Denied
Gisele,Klampt,WV,28658.66,29,817,66,436751.16,3.4,5534.84,10015.86,0.35,Approved
Bartlet,Searchwell,MI,33164.28,12,842,28,188981.71,4.0,9055.26,29320.46,0.88,Denied
Jessey,Woller,TX,39737.61,4,657,28,263845.61,3.5,9592.71,4264.2,0.11,Approved
